ID,AGE,Gender,NATIONALITY,RESIDENCE,TYPE_CLIENT,HasCrdCard,IsActiveMember,MARITAL_STATUS,ONLINE_ACTUAL_BAL,Account-AGE,Excited,ACCOUNT_OFFICER,Id
"10B3FCECB5122943,122,male,TN,TN,PP,0,1,others,""€ 33243,49"",43,0,62,562AEDA3B5D06C0409C5C6652A2D4A67"
"166E4A0E75E88A93,122,male,FR,TN,PP,1,1,others,""€ 888,57"",43,0,60,6E357AD92A0FCF1E1AC7B4535DA4642E"
"371B594EEE3591C8,122,male,AU,AU,PP,1,0,others,""€ 50,00"",40,1,61,571FC2E4AEA7EE8A3E466BFE0786ABC0"
"443D95AA253C782F,122,male,FR,FR,PP,0,0,others,""€ 180,00"",41,0,60,613F637CD70CE7362E9305C2D9CCE77B"
"6CB9D86C8F334663,122,male,FR,FR,PP,0,1,others,""€ 160,48"",43,1,60,23D34CF205192AB4E1AB3F193320C084"
"8099D9CA287FCDCF,122,female,TN,TN,PP,1,1,others,""€ 61529,82"",38,1,44,6C6F19CFD55D987E45B56C4B5A96056A"
"91CAC2F5CB979164,122,female,IT,TN,PP,1,0,others,""-€ 280,11"",29,0,69,C9FCB3F25226C4EF096FD4FCF854CB7A"
"C46EB56BA8559C61,122,female,IT,IT,PP,0,0,others,""€ 700,00"",43,0,60,78F0CDC95E39F3D25A69D4CB9F96CCAA"
"F7B55CCF3A0302B5,122,female,FR,FR,PP,0,0,others,""€ 2713,69"",41,0,60,8F86BB8318DACE0F7E4BED030C95195F"
"FCD8501280C91317,122,male,FR,FR,PP,1,1,others,""€ 506,90"",43,0,60,39C00ABA051268D189567EB1AF65E7AF"
"02EEE65C1CA1E26E,121,female,IT,TN,PP,0,1,others,""€ 11331,82"",40,1,60,66371E709E761E9D707D17E289EB63A9"
"1B549269FE29B989,121,female,FR,FR,PP,1,1,others,""€ 974,64"",43,1,60,B0CF26408EFFFE2EFD48F4B269D1DA46"
"27DC3D725DB13DA6,121,female,TN,TN,PP,0,0,others,""€ 53,92"",30,1,1,2AF6146A5B349805DB872875AF522278"
"29641AA3B8162EA4,121,female,TN,TN,PP,0,1,others,""€ 243,73"",34,0,17,17A0F601A003BF12649625A53F3BB386"
"3DF4E75A1DA7DAEB,121,male,IT,IT,PP,1,0,others,""€ 3203,94"",43,1,60,B0CF26408EFFFE2E173E37A3F22697DE"
"3E9B397482E06F10,121,male,TN,TN,PP,0,0,others,""€ 20,61"",10,1,13,DBEFAC34317A0A20B05F4810820EBD34"
"4248309089CF8741,121,female,LY,TN,PP,1,1,others,""€ 7,83"",46,1,71,17D6720BF73E9FA5427576C7BB8D8E9C"
"44E593041A40BC17,121,female,IT,IT,PP,0,1,others,""€ 9976,20"",43,0,60,D3C13FD59145CC22C04ABEADDBA89E0B"
"4E52B173B0997DFE,121,male,TN,TN,PP,1,0,CELIB,""-€ 972,47"",13,0,34,801FB780453307507004BBAF248D7E12"
"5F26F191C5E6F383,121,male,TN,TN,PP,0,0,others,""€ 6977,70"",34,1,44,C74A2E4159A2A6C77C2DD29F3DEEDDF7"
"620E4EE60122EDB0,121,male,FR,FR,PP,1,0,others,""€ 2000,00"",33,0,50,BF05188C5C129B4F8B3BDA6BA2C48AB1"
"7B33982D5C53C754,121,male,TN,TN,PP,1,1,others,""€ 27,49"",33,0,25,891C653007D455F68CE9544BC6C2B7EF"
"932E1145CD2F34B5,121,female,TN,TN,PP,1,1,MARIE,""€ 73,76"",37,1,61,95439E8313BE72E50DEC335AE1D439FE"
"9E37F71271E4311D,121,female,KW,TN,PP,0,1,others,""€ 1,85"",33,0,71,4AA7B99FD01012536BCFB5042EAB8B9A"
"9EEE002180DABFB9,121,male,GB,TN,PP,0,0,others,""€ 400,47"",33,0,71,0793DAD55BF1BEE12C729ECBF851580E"
"9F144CAE02EEC4D6,121,male,FR,FR,PP,1,0,others,""€ 142,86"",41,0,60,0D930CAC2B321805B9B4B6EEE0F6D71E"
